Id,SalePrice
1461,122024.05451511986
1462,166972.87547089581
1463,193282.14599521909
1464,189477.41903989689
1465,181176.24931612296
1466,174954.69072343392
1467,178804.49031234163
1468,169538.44912192546
1469,191311.97561788373
1470,130084.85482360423
1471,202449.59471285407
1472,92152.557242177194
1473,99991.481236970882
1474,155721.0683775346
1475,116775.98049911227
1476,420036.68729684182
1477,240589.16978144046
1478,294435.88277028367
1479,310812.92866789724
1480,489373.37333480996
1481,322740.64981490851
1482,195920.80816731165
1483,180578.00716973742
1484,160218.35145466635
1485,162312.70455565737
1486,193350.96033016813
1487,379602.4336855174
1488,224607.62594018696
1489,200257.88938152636
1490,253908.87483893984
1491,195669.61602218013
1492,84999.276414965119
1493,193455.72267498841
1494,291164.52355991618
1495,270802.11994050874
1496,247333.36279452321
1497,192246.84083789261
1498,158985.40948188421
1499,158559.10613069197
1500,158816.90998108871
1501,181238.95007643921
1502,154608.64439791243
1503,299268.05144152889
1504,231146.42672362478
1505,230105.40192166509
1506,194571.06820491917
1507,259779.56165437124
1508,191764.81450345382
1509,157887.32133857333
1510,151011.848854727
1511,150063.70537241784
1512,182434.00202307096
1513,145496.58162431692
1514,157332.50214034857
1515,236691.72763392192
1516,154784.04930007196
1517,155460.94890064912
1518,142589.98204635925
1519,228738.13609806469
1520,133008.81812148946
1521,140749.70045793484
1522,165130.18732933595
1523,111842.84700229594
1524,118072.6053177736
1525,125464.89951879813
1526,122257.53641879176
1527,111836.29864686036
1528,125241.35317206125
1529,147566.9931259577
1530,169285.53277865073
1531,126885.10970285899
1532,103945.06270793964
1533,157406.69567453576
1534,117478.23089670096
1535,164531.34902870783
1536,107407.11815367895
1537,91497.223526071233
1538,141556.0924432785
1539,209820.26076849509
1540,95646.381871242251
1541,130854.7973847684
1542,136745.6543938774
1543,196948.43514867563
1544,88611.767420993841
1545,109138.40168861944
1546,132309.29934231529
1547,137776.20945341745
1548,126220.61770457563
1549,117905.19913251199
1550,145847.95380598816
1551,120826.40595309129
1552,146766.60157968619
1553,162519.97394747313
1554,112348.58515181381
1555,169234.71237930158
1556,71949.212033731237
1557,128256.27527767392
1558,92841.64271666843
1559,113386.67592998242
1560,134009.97176521094
1561,164916.637634443
1562,128616.54515405168
1563,120753.55292383782
1564,169033.94512787461
1565,161231.02358085712
1566,226964.43093020431
1567,82304.126803346677
1568,227346.0010691284
1569,142473.0374897896
1570,138449.25051894103
1571,128115.16898462125
1572,148730.38825552363
1573,261457.1225056015
1574,110813.08346803623
1575,232254.48754164384
1576,239563.56489020173
1577,193632.65242471593
1578,134527.72665282956
1579,157544.55372702787
1580,181947.63788790745
1581,147361.94668488193
1582,124599.0715961481
1583,332350.88601704669
1584,232545.91476226566
1585,143492.29517134745
1586,74111.661065267006
1587,91506.865781400164
1588,150069.1066043801
1589,98199.748774630963
1590,132517.11061943637
1591,95373.824949688395
1592,109446.55292115758
1593,125213.30127230386
1594,115777.611042087
1595,133982.21795783684
1596,244030.83085320631
1597,169274.0331068958
1598,202905.65792176826
1599,163347.36259786633
1600,172499.950909056
1601,79649.623116125338
1602,110949.52712065731
1603,86536.457727562389
1604,279410.03947542032
1605,230032.6615369964
1606,171195.69691914535
1607,166514.03810582255
1608,225186.69150489994
1609,188829.33440968927
1610,161552.9994796555
1611,140772.9539730055
1612,184567.58796962228
1613,172931.23230340602
1614,124500.550474634
1615,90937.586531972091
1616,74726.768823480306
1617,98341.930215361193
1618,123230.62711843399
1619,149303.1109961498
1620,182282.68128902098
1621,150665.48084347084
1622,128534.18169275332
1623,288934.75739663636
1624,226232.54348999099
1625,124591.68831571529
1626,163886.75503932079
1627,183466.50666046163
1628,269315.95087491168
1629,175088.66011712785
1630,379416.64496040327
1631,203018.82939090612
1632,242069.87239631024
1633,156623.86042983149
1634,198209.01996213276
1635,178486.28291852292
1636,169558.19174074766
1637,197045.22931910405
1638,192969.35376715349
1639,179917.98145112785
1640,244983.82563556411
1641,173732.26264859026
1642,233114.30056900636
1643,226754.85974578353
1644,228387.10717992022
1645,193144.13441458627
1646,157214.12458124888
1647,158817.8698483152
1648,137598.19702157821
1649,132652.33309272287
1650,118773.8113527674
1651,122360.48004786986
1652,94201.070361577469
1653,91972.204795766447
1654,146294.77758684903
1655,138308.63549862141
1656,149448.98086510634
1657,146606.54151078471
1658,154695.58342964898
1659,123347.99793273678
1660,152431.32696743208
1661,456544.18090628868
1662,406042.93400721246
1663,396354.31241750403
1664,412187.48806053819
1665,308332.29613561701
1666,312748.44503063435
1667,379169.9335456696
1668,327045.78940892121
1669,301342.24203698174
1670,349692.75164640287
1671,245288.48278184168
1672,462029.53908113745
